E[P(A)],E[P(B)],Method,score
0.9,0.4,UCB,0.8901999999999999
0.9,0.4,Thompson Sampling,0.8977999999999999
0.9,0.5,Greedy,0.507
0.9,0.5,Ɛ-Greedy,0.875
0.9,0.5,UCB,0.8874000000000001
0.9,0.5,Thompson Sampling,0.9027999999999998
0.9,0.6,Greedy,0.9024000000000001
0.9,0.6,Ɛ-Greedy,0.8831999999999999
0.9,0.6,UCB,0.8928
0.9,0.6,Thompson Sampling,0.8944000000000001
0.9,0.7,Greedy,0.9026
0.9,0.7,Ɛ-Greedy,0.8968
0.9,0.7,UCB,0.8905999999999998
0.9,0.7,Thompson Sampling,0.9016
0.9,0.8,Greedy,0.7936
0.9,0.8,Ɛ-Greedy,0.8948
0.9,0.8,UCB,0.8862
0.9,0.8,Thompson Sampling,0.8939999999999999
0.9,0.9,Greedy,0.8982000000000001
0.9,0.9,Ɛ-Greedy,0.898
0.9,0.9,UCB,0.892
0.9,0.9,Thompson Sampling,0.906
